,Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Prize
0,Infinix SMART 7,Night Black,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,"7,299"
1,Infinix SMART 7,Azure Blue,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,"7,299"
2,MOTOROLA G32,Mineral Gray,128,8,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,"11,999"
3,POCO C50,Royal Blue,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"5,649"
4,Infinix HOT 30i,Marigold,128,8,5000,50MP,5MP,1,16.76,G37,"8,999"
5,Infinix HOT 30i,Glacier Blue,128,8,5000,50MP,5MP,1,16.76,G37,"8,999"
6,Infinix HOT 30i,Mirror Black,128,8,5000,50MP,5MP,1,16.76,G37,"8,999"
7,Infinix HOT 30i,Diamond White,128,8,5000,50MP,5MP,1,16.76,G37,"8,999"
8,Infinix HOT 30i,Diamond White,64,4,5000,50MP,5MP,1,16.76,G37,"7,999"
9,Infinix HOT 30i,Mirror Black,64,4,5000,50MP,5MP,1,16.76,G37,"7,999"
10,REDMI 10,Shadow Black,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"9,499"
11,Infinix HOT 30i,Glacier Blue,64,4,5000,50MP,5MP,1,16.76,G37,"7,999"
12,Infinix SMART 7,Emerald Green,64,4,6000,13MP,5MP,1,16.76,Unisoc Spreadtrum SC9863A1,"7,299"
13,SAMSUNG Galaxy F13,Waterfall Blue,128,4,6000,50MP,8MP,0,16.76,Exynos 850,"10,699"
14,SAMSUNG Galaxy F04,Opal Green,64,4,5000,13MP,5MP,0,16.51,Mediatek Helio P35,"7,299"
15,POCO C51,Royal Blue,64,4,5000,8MP,5MP,0,16.56,Helio G36,"6,999"
16,Infinix HOT 30i,Marigold,64,4,5000,50MP,5MP,1,16.76,G37,"7,999"
17,POCO C51,Power Black,64,4,5000,8MP,5MP,0,16.56,Helio G36,"6,999"
18,POCO C50,Country Green,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"5,649"
19,MOTOROLA e13,Cosmic Black,64,4,5000,13MP,5MP,0,16.51,Unisoc T606,"7,299"
20,vivo T2x 5G,Aurora Gold,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,"15,999"
21,vivo T2x 5G,Marine Blue,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,"15,999"
22,vivo T2x 5G,Glimmer Black,128,8,5000,50MP,8MP,0,16.71,Dimensity 6020,"15,999"
23,vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,"13,999"
24,vivo T2x 5G,Glimmer Black,128,4,5000,50MP,8MP,0,16.71,Dimensity 6020,"12,999"
25,vivo T2x 5G,Glimmer Black,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,"13,999"
26,vivo T2x 5G,Marine Blue,128,4,5000,50MP,8MP,0,16.71,Dimensity 6020,"12,999"
27,vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,0,16.71,Dimensity 6020,"13,999"
28,Infinix Smart 7 HD,Green Apple,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,"6,199"
29,REDMI A1+,Black,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,599"
30,REDMI A1+,Light Blue,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,599"
31,POCO C55,Power Black,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,"7,749"
32,REDMI A1+,Light Green,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,599"
33,POCO C55,Cool Blue,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,"7,749"
34,POCO C55,Forest Green,64,4,5000,50MP,5MP,0,17.04,Mediatek Helio G85,"7,749"
35,POCO C55,Cool Blue,128,6,5000,50MP,5MP,0,17.04,Mediatek Helio G85,"8,999"
36,SAMSUNG Galaxy F13,Nightsky Green,64,4,6000,50MP,8MP,0,16.76,Exynos 850,"9,699"
37,SAMSUNG Galaxy F13,Nightsky Green,128,4,6000,50MP,8MP,0,16.76,Exynos 850,"10,699"
38,MOTOROLA g13,Matte Charcoal,128,4,5000,50MP,8MP,0,16.51,Helio G85,"9,999"
39,POCO M4 5G,Cool Blue,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,"11,999"
40,MOTOROLA e32,Eco Black,64,4,5000,50MP,8MP,0,16.51,Mediatek Helio G37,"7,999"
41,REDMI 10,Caribbean Green,128,6,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"10,999"
42,SAMSUNG Galaxy F04,Jade Purple,64,4,5000,13MP,5MP,0,16.51,Mediatek Helio P35,"7,299"
43,MOTOROLA G32,Satin Silver,128,8,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,"11,999"
44,REDMI 10,Sunrise Orange,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"9,499"
45,SAMSUNG Galaxy F13,Sunrise Copper,128,4,6000,50MP,8MP,0,16.76,Exynos 850,"10,699"
46,MOTOROLA e32,Arctic Blue,64,4,5000,50MP,8MP,0,16.51,Mediatek Helio G37,"7,999"
47,MOTOROLA g13,Lavender Blue,128,4,5000,50MP,8MP,0,16.51,Helio G85,"9,999"
48,MOTOROLA e32,Arctic Blue,64,4,5000,50MP,8MP,0,16.51,Mediatek Helio G37,"7,999"
49,POCO C55,Power Black,128,6,5000,50MP,5MP,0,17.04,Mediatek Helio G85,"8,999"
50,vivo T2 5G,Velocity Wave,128,8,4500,40MP,16MP,0,16.21,Snapdragon 695,"20,999"
51,vivo T2 5G,Nitro Blaze,128,8,4500,40MP,16MP,0,16.21,Snapdragon 695,"20,999"
52,MOTOROLA G62 5G,Frosted Blue,128,6,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 695 5G,"15,499"
53,POCO C50,Royal Blue,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,999"
54,vivo T2 5G,Nitro Blaze,128,6,4500,32MP,16MP,0,16.21,Snapdragon 695,"18,999"
55,vivo T2 5G,Velocity Wave,128,6,4500,32MP,16MP,0,16.21,Snapdragon 695,"18,999"
56,POCO M5,Yellow,64,4,5000,50MP,8MP,0,16.71,Mediatek Helio G99,"12,499"
57,MOTOROLA G62 5G,Midnight Gray,128,6,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 695 5G,"15,499"
58,POCO M4 5G,Power Black,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,"11,999"
59,SAMSUNG Galaxy F13,Waterfall Blue,64,4,6000,50MP,8MP,0,16.76,Exynos 850,"9,699"
60,SAMSUNG Galaxy F13,Sunrise Copper,64,4,6000,50MP,8MP,0,16.76,Exynos 850,"9,699"
61,POCO M5,Power Black,64,4,5000,50MP,8MP,0,16.71,Mediatek Helio G99,"12,499"
62,MOTOROLA e13,Creamy White,64,4,5000,13MP,5MP,0,16.51,Unisoc T606,"7,299"
63,realme C33 2023,Sandy Gold,128,4,5000,50MP,5MP,0,16.51,Unisoc T612,"10,499"
64,realme C33 2023,Aqua Blue,128,4,5000,50MP,5MP,0,16.51,Unisoc T612,"10,499"
65,SAMSUNG Galaxy F14 5G,GOAT Green,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","14,490"
66,MOTOROLA g73 5G,Midnight Blue,128,8,5000,50MP,16MP,0,16.51,Mediatek Dimensity 930,"16,999"
67,realme C33 2023,Night Sea,128,4,5000,50MP,5MP,0,16.51,Unisoc T612,"10,499"
68,realme C30,Bamboo Green,32,3,5000,8MP,5MP,0,16.51,Unisoc T612,"6,499"
69,realme C30,Lake Blue,32,3,5000,8MP,5MP,0,16.51,Unisoc T612,"6,499"
70,realme C30,Denim Black,32,2,5000,8MP,5MP,0,16.51,Unisoc T612,"5,999"
71,realme C30,Denim Black,32,3,5000,8MP,5MP,0,16.51,Unisoc T612,"6,499"
72,POCO X5 5G,Wildcat Blue,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,"15,999"
73,REDMI A1+,Light Blue,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,299"
74,POCO M4 Pro,Yellow,128,8,5000,64MP,16MP,0,16.33,Mediatek Helio G96,"13,999"
75,MOTOROLA G62 5G,Midnight Gray,128,8,5000,50MP,16MP,0,41.94,Qualcomm Snapdragon 695 5G,"16,499"
76,POCO C50,Royal Blue,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,299"
77,POCO M5,Icy Blue,128,6,5000,50MP,8MP,0,16.71,Mediatek Helio G99,"14,499"
78,REDMI 11 Prime,Flashy Black,64,4,5000,50MP,8MP,0,16.71,Helio G99,"9,999"
79,realme C55,Sunshower,128,8,5000,64MP,8MP,0,17.07,Helio G88,"13,999"
80,realme C55,Rainy Night,128,8,5000,64MP,8MP,0,17.07,Helio G88,"13,999"
81,realme C55,Sunshower,64,6,5000,64MP,8MP,0,17.07,Helio G88,"11,999"
82,realme C55,Rainforest,128,8,5000,64MP,8MP,0,17.07,Helio G88,"13,999"
83,realme C55,Rainy Night,64,6,5000,64MP,8MP,0,17.07,Helio G88,"11,999"
84,realme C55,Rainforest,64,6,5000,64MP,8MP,0,17.07,Helio G88,"11,999"
85,realme C55,Sunshower,64,4,5000,64MP,8MP,0,17.07,Helio G88,"10,999"
86,realme C55,Rainforest,64,4,5000,64MP,8MP,0,17.07,Helio G88,"10,999"
87,realme C55,Rainy Night,64,4,5000,64MP,8MP,0,17.07,Helio G88,"10,999"
88,MOTOROLA G62 5G,Frosted Blue,128,8,5000,50MP,16MP,0,41.94,Qualcomm Snapdragon 695 5G,"16,499"
89,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","14,490"
90,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","13,490"
91,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","13,490"
92,REDMI 10,Caribbean Green,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"9,499"
